"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.9795602125148","50.9651116643215","50.9656079951631","50.9867898904743","51.0126426905609","51.0242864863922","51.039825309348","51.0388670663634","51.0457885811193","51.064119590016","51.0953106483833","51.1456545876653","51.1938378251934","51.2733249219736","51.3225502668231","51.3544259970653","51.3501468986235","51.3351886823709","51.3011214269076","51.2722603881812","51.2604622526915","51.2607123396245","51.2789162224287","51.3043897577677","51.2876834431605","51.2534907336888","51.1708835501636","51.0592192502992","50.9235001309929","50.7823636393427","50.6709357703694","50.5918945267165","50.534876905041","50.5248637837092","50.5677595984616","50.6797470245506","50.8346252298374","51.0403744880047","51.282080659945","51.5206327450033","51.7454273325556","51.9409636997804","52.1159676604346","52.265605673291","52.3738151178806","52.4393169912425","52.459585440841","52.4430482287159","52.3953749926008","52.3518511217127","52.3287267004377","52.3292503674669","52.3521669185395","52.3917995444191","52.4283071230342","52.4655210419881","52.4903447289372","52.5127893622878","52.5310356555751","52.5510300065845","52.5672967049435",
"Africa Eastern and Southern","AFE","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.550028177721","50.5405661605952","50.5370949546756","50.535980723162","50.5325413500509","50.5239056016589","50.5092560047576","50.4903674678703","50.469864895989","50.4512343304056","50.436587550929","50.4266101209408","50.4200593968819","50.415052672252","50.4092636672897","50.401223760281","50.3909115244721","50.3792718866309","50.3672256387196","50.3560043424818","50.3464941930698","50.3387377653974","50.3326958928599","50.3288833889788","50.3279277860113","50.3301215089769","50.3353080868371","50.3430931824447","50.3531876048636","50.3652070155124","50.3787325321632","50.3936363106325","50.4094866544762","50.4252549100455","50.4397214373371","50.4521132954055","50.4622106071435","50.4702373394443","50.4763983559528","50.4810744523806","50.4845412297735","50.4866477364485","50.4873901680705","50.487259878428","50.4868763918696","50.48655688544","50.4865868353975","50.4866366894175","50.4856624785613","50.4823870918714","50.4760789408518","50.4666996240163","50.4549008350483","50.4416825019388","50.4282821270069","50.4155718350229","50.4037269002959","50.3926147801768","50.382357540847","50.3730081696001","50.3645789636472",
"Afghanistan","AFG","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.3206618408181","48.4126888917341","48.4993865117273","48.5808743398441","48.6571363598861","48.7283853328108","48.7940645749712","48.8542717955187","48.9101691970642","48.9631690474153","49.0137783038566","49.0621195682958","49.10709848394","49.1464050224615","49.1774484087599","49.1985996871031","49.2105016938378","49.2142229913021","49.2097899146846","49.197117901195","49.1762587504211","49.1429300698871","49.0963412587508","49.0441811964078","48.9994515050671","48.9714784568935","48.9738438675559","49.0013648109041","49.021648117302","48.9897229501066","48.8844825109522","48.7054305371164","48.4928386875107","48.30251455417","48.1795973793914","48.1375832644881","48.1766143098311","48.2762007128538","48.402114321932","48.5069268533939","48.5585653521805","48.5455726553701","48.4880208084909","48.4198279700101","48.3807718857951","48.3918975840049","48.458872976407","48.5657150325628","48.6848683194576","48.7791710920652","48.8247575997556","48.815783003393","48.7671116469881","48.7000703324666","48.6413243145116","48.607049369402","48.5996676146541","48.611615718279","48.6358467017121","48.6623948520569","48.6845201032328",
"Africa Western and Central","AFW","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.206988498193","50.199711462231","50.1912295427103","50.1822495468678","50.1734549605649","50.1653627613976","50.1581263776949","50.1515589466465","50.1451806758875","50.1384415110059","50.1309231326392","50.1228630516803","50.114506984087","50.1056328388848","50.0960218120429","50.0856443891921","50.0741128316159","50.0619587487344","50.050971036239","50.0433593758165","50.0403240214554","50.0422266164705","50.0478147506484","50.0547438069584","50.0601789678069","50.0621705770954","50.0604633838257","50.0557861488937","50.0488135525518","50.0404586087054","50.0314464280252","50.0217039927592","50.0112081708051","50.0005988596252","49.9906224253613","49.9817116744442","49.9740450562897","49.9672848736131","49.9608053317793","49.9538106471688","49.945745468106","49.9365581279111","49.9264465030254","49.9154601867768","49.9037117817417","49.8913176351965","49.8782937327859","49.8647190432709","49.8508115489921","49.8368554100825","49.8230310044459","49.8094592715417","49.7961448385669","49.7829222565146","49.7696104592981","49.7561095475756","49.7424280319622","49.7287596597522","49.7154414306419","49.7028680826493","49.6913033413897",
"Angola","AGO","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.3356294791985","49.2412594195141","49.2898061331124","49.4060705045654","49.4871878925428","49.4651744289519","49.3162094080688","49.0705097121006","48.783830049116","48.542851993037","48.4106234593471","48.4073447115157","48.5018914800339","48.651906309297","48.8078479767314","48.9382536488499","49.0401542401974","49.1245176859865","49.1965234990868","49.2649784445716","49.335186763678","49.4065069489975","49.4755749140479","49.5414358900515","49.6032189711869","49.6604344130738","49.7132686712569","49.7623312252333","49.8082815122554","49.851974511261","49.8940404114147","49.9347492481162","49.9740427724231","50.0123900156665","50.0499601851426","50.0870227436599","50.1237854602012","50.1602520567429","50.1956886898096","50.2292890784383","50.2605566157057","50.2886770508221","50.3141999351805","50.3393569961212","50.3668647709064","50.3979292775545","50.4331161859076","50.4704056758649","50.5055763288064","50.5335614848801","50.5516575501192","50.5594645232624","50.559227813529","50.5538637195125","50.5471002223944","50.5413281557632","50.5370064892474","50.5334766486604","50.5304629337424","50.5274750128821","50.5241361751203",
"Albania","ALB","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.5933239654763","48.5973880229619","48.6036226567108","48.6113089064885","48.6176598690966","48.6214616266958","48.6230360256202","48.6221089955037","48.6208858616035","48.6217328066645","48.6261707794285","48.6347656374166","48.6457757519993","48.6576674858777","48.6670210763541","48.6720544935944","48.6722615711845","48.6690872419536","48.6644393070414","48.6608213263833","48.6603220564976","48.6685509558213","48.686047728475","48.7037531104266","48.710014868419","48.7001422043048","48.6584821435904","48.595983477189","48.5610308368833","48.614557847309","48.7912004309099","49.1243590333731","49.5929463964704","50.1078494089252","50.5267409879746","50.7374258855744","50.6821411179337","50.4036297155865","50.0051596120358","49.6352515451372","49.3965639006968","49.3185451261958","49.3652163037161","49.4922253470716","49.6289888250577","49.7223671039034","49.7645951496905","49.772692290325","49.7476423585174","49.6960690793678","49.6250545703587","49.5302023047865","49.4109483883654","49.2845207708001","49.1733783745991","49.0937975259849","49.0529987420434","49.0463977665664","49.0630945959306","49.0861056894117","49.1029953436653",
"Andorra","AND","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.5847700780871","49.5850061663007","49.5870125638369","49.5901716244199","49.5936140681661","49.5964995148124","49.5985146337899","49.5992286281236","49.5977688538703","49.5931856473498","49.584675137781","49.5731952262586","49.5586072719233","49.5382105118789","49.5088548355978","49.4693502411944","49.4187435469619","49.3602049789733","49.3012524206553","49.2507213622906","49.2136598726933","49.191630959616","49.1810297568412","49.175443047819","49.1667827736761","49.1500191953754","49.12490509944","49.0942401553935","49.060326195452","49.0263208877191","48.9974368604265","48.9666901665837","48.9870855837172","48.9598979702968","48.9457298214302","48.9035274457404","48.9231206442023","48.9544770986186","48.9870369829597","49.0076123954477","49.0074836031925","48.9860468319166","48.9469892887575","48.8919942233699","48.823964238205","48.746189889518","48.6580700431133","48.5623156447532","48.4687562908235","48.3889514483699","48.3298939270347","48.2945238385319","48.2789354966857","48.2747560830772","48.2708529378865","48.2601315925541","48.2404612438118","48.2153641400738","48.1905037345112","48.1734220706715","48.1689252393786",
"United Arab Emirates","ARE","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.9356179057966","48.2554736560153","46.1467104324247","44.1165188204268","42.4965048642149","41.3239464815989","40.5828264959776","40.0517176381886","39.3604205453948","38.1860435345613","36.5810704782698","34.8774431185419","33.3669720335501","32.1393728222996","31.2172028657181","30.5778823443584","30.1017672896229","29.7670351548317","29.6706874223517","29.8974405206536","30.4516790958767","31.3267712442618","32.4190258375572","33.5390656734424","34.4520352094716","35.0186836875487","35.2236539900137","35.162233962776","34.9402729326617","34.6821187754828","34.4620569371545","34.2728191129381","34.0861574793024","33.9099963877072","33.7504690815851","33.6014382847246","33.436649927278","33.2374770762918","33.0055232200608","32.7454316866086","32.4476790062242","32.215336319557","32.0175613845012","31.6203614776245","30.8054634335297","29.6132793923223","28.1651991671214","26.7665621738653","25.7194950381452","25.193864930871","25.1933626183304","25.6855596506362","26.5630035361432","27.6666281071739","28.7481297851508","29.6024267140644","30.158621297461","30.4802488741153","30.6366879500976","30.7426642127558","30.8789432176656",
"Argentina","ARG","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.559962583332","49.6126101068968","49.6682132054576","49.7249186510851","49.7801935418511","49.8326236648928","49.8810017644236","49.9268032165584","49.9743960144107","50.029409872507","50.0951485065428","50.1728101955996","50.259621763885","50.3501869277303","50.4375546518667","50.5170365086683","50.5874904781825","50.6505679353561","50.7081896812469","50.7631052709096","50.8172987237267","50.8703314506893","50.9214834057139","50.9716117282149","51.0218734532157","51.0726831929432","51.1251194014234","51.1782473621195","51.2282366011694","51.2701466962145","51.3010686402453","51.3193021966019","51.327071351283","51.329935620154","51.3353484289257","51.3480927277025","51.3700784443768","51.3987011629944","51.4287332069246","51.4528966810685","51.4663990438395","51.4679451279232","51.459819679785","51.4450481421038","51.4279965405772","51.4118172241305","51.3972098053962","51.3833744289272","51.3700806426442","51.356653171054","51.3427421836562","51.3284508654385","51.3142079494409","51.3001909136769","51.2865855105791","51.27348276799","51.2609743314513","51.2489899491189","51.2373484456557","51.2258022015077","51.2141455162946",
"Armenia","ARM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","51.8173072254217","51.7358246055366","51.6555661937852","51.5776016757927","51.5038666594561","51.4356609367454","51.3716818436248","51.3132002327358","51.2631073047741","51.2256906182778","51.2029581789315","51.1948374551149","51.1990640200054","51.2120776472843","51.2295628661559","51.2481855100623","51.2694392235835","51.2927531309701","51.3119787390418","51.3197470603688","51.3120858750632","51.2875719164854","51.2516845686001","51.2144783906093","51.189633043411","51.1872083838564","51.2063624765054","51.2446164439952","51.3074708667043","51.402117307272","51.5338463677772","51.7104205721191","51.9309170970309","52.1782361628861","52.4213805066535","52.6313744638831","52.7945248630695","52.9124845479577","52.9882834929557","53.0335834666011","53.0583330645684","53.0599674958354","53.0367741867437","53.0036402338285","52.979306598594","52.9772961920153","53.0062694769734","53.0624715484303","53.1300051760635","53.1845916372528","53.2080614072708","53.1941195938448","53.1503803949673","53.0900647537456","53.0319121357861","52.9890526904431","52.9650933689628","52.955474908389","52.9565771522637","52.9615637408173","52.9653412454096",
"American Samoa","ASM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","53.2716323062144","53.1915280429052","53.1146484270085","53.0237561947761","52.915459481966","52.7947665207244","52.6789290960075","52.5522534291313","52.4335044703549","52.3232577533712","52.2544559391749","52.2003294278522","52.1673371378676","52.1500730569216","52.1265132788236","52.1166089578912","52.085705579523","52.0478749074998","52.0148940971663","51.9823077419771","51.9438741695091","51.9024421822655","51.8646811265782","51.833147185937","51.7884889291726","51.7358582180141","51.6646694950934","51.5855654400207","51.5285469089025","51.4909606979857","51.5231957526426","51.6010921200069","51.7243519136195","51.8843972817246","52.0736298566986","52.2556500465983","52.4538303693571","52.6503688621752","52.8291836818312","52.9568524519913","53.0174852316234","53.0021240221727","52.9311093514521","52.8123463327912","52.6939400350978","52.5791166433429","52.4705313425618","52.3771555058373","52.3022694802914","52.2220813206829","52.1549471770987","52.0862745098039","52.0247325981395","51.9713692492624","51.9219550139366","51.8782528774941","51.8429961912823","51.8092742991878","51.7884962921418","51.7571950780003","51.7308634915448",
"Australia","AUS","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.5132722193853","49.5440384091805","49.5770062630245","49.6099972162746","49.6404338597571","49.6665837545675","49.6877016772126","49.7044533433101","49.7190665392678","49.7343343453207","49.7523495215754","49.772671645261","49.7949172023932","49.8206717049626","49.8519136348088","49.8893002325516","49.9343126965363","49.9851162440851","50.0354014831358","50.0769860435737","50.1043980148611","50.1156338994539","50.113674272256","50.1042077721597","50.0949546253698","50.0914089620876","50.0939527239694","50.1009042795662","50.1124769621288","50.1285958725951","50.148679881608","50.1741758722829","50.2040233007602","50.2318866711306","50.2498858613348","50.2529055193043","50.2384702105208","50.2095941172136","50.1735753652265","50.1403940678257","50.1167526370047","50.105810590395","50.1048946759728","50.1079358136192","50.1064404843263","50.0951629659287","50.0716592858918","50.0401002297773","50.0092887342209","49.9905888744036","49.9908439239065","50.0122770421264","50.0503166462415","50.0964484406563","50.1391905706398","50.1708743412044","50.1894718273433","50.197959138598","50.1996232411296","50.1995341861351","50.2012381940135",
"Austria","AUT","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","53.4192371894841","53.3885359293356","53.3543174665453","53.3171495773447","53.2780528799873","53.2377688410128","53.1965160544971","53.1544910160213","53.1121577949081","53.0702174256017","53.0291350539991","52.9888393090694","52.9493003672281","52.9112074338244","52.8749496806442","52.8408211597073","52.8088258293847","52.7785041798199","52.7484208343155","52.716693076016","52.6821117645126","52.6439697905664","52.6020901644358","52.5571280135734","52.5097222455916","52.460395273776","52.4100194153877","52.3581780703623","52.302210669583","52.238802669177","52.1660667580361","52.0835236361943","51.993694752787","51.9017208244864","51.8137485899148","51.7341494419416","51.663363205008","51.6004672300932","51.5461157206505","51.5009720391558","51.4652367820855","51.439775592124","51.423601707464","51.4131304921626","51.4032939790503","51.3905231814847","51.3731775804146","51.3515532316357","51.3256988380422","51.2964819535206","51.2643423946292","51.2299460306446","51.1928870425759","51.1511489166149","51.1021502100066","51.0448321153467","50.9780954273236","50.9043071000109","50.8294266482503","50.7612861843766","50.705154112631",
